Cliende ID;Idade;Item Comprado;Categoria;Valor Compra;Cidade;Método Pagamento
1;55;Blusa;Roupas;53;Rio Grande do Norte;Cartão de crédito
2;19;Blusão;Roupas;64;Roraima;Dinheiro
3;50;Calça jeans;Roupas;73;Piauí;Cartão de crédito
4;21;Sandália;Calçados;90;Ceará;Pix
5;45;Blusa;Roupas;49;Amazonas;Pix
6;46;Tênis;Calçados;20;Acre;Cartão de crédito
7;63;Camiseta;Roupas;85;Rondônia;Dinheiro
8;27;Shorts;Roupas;34;Pará;Cartão de crédito
9;26;Casaco;Agasalhos;97;Amapá;Cartão de crédito
10;57;Bolsa;Acessórios;31;Tocantins;Dinheiro
11;53;Sapato;Calçados;34;Maranhão;Transferência bancária
12;30;Shorts;Roupas;68;Mato Grosso;Transferência bancária
13;61;Casaco;Agasalhos;72;Mato Grosso do Sul;Cartão de crédito
14;65;Vestido;Roupas;51;Goiás;Pix
15;64;Casaco;Agasalhos;53;Distrito Federal;Cartão de débito
16;64;Saia;Roupas;81;Ceará;Pix
17;25;Óculos de sol;Acessórios;36;Minas Gerais;Cartão de débito
18;53;Vestido;Roupas;38;Espírito Santo;Cartão de crédito
19;52;Blusão;Roupas;48;Rondônia;Dinheiro
20;66;Calça comprida;Roupas;90;Ceará;Cartão de débito
21;21;Calça comprida;Roupas;51;Pará;Dinheiro
22;31;Calça comprida;Roupas;62;Rio de Janeiro;Cartão de débito
23;56;Calça comprida;Roupas;37;São Paulo;Cartão de débito
24;31;Calça comprida;Roupas;88;Paraná;Cartão de crédito
25;18;Jaqueta;Agasalhos;22;Santa Catarina;Cartão de débito
26;18;Moletom com capuz;Roupas;25;Rio Grande do Sul;Pix
27;38;Jóia;Acessórios;20;Mato Grosso do Sul;Cartão de crédito
28;56;Shorts;Roupas;56;Rio Grande do Norte;Transferência bancária
29;54;Bolsa;Acessórios;94;Rio de Janeiro;Pix
30;31;Vestido;Roupas;48;Acre;Cartão de crédito
31;57;Jóia;Acessórios;31;Rio de Janeiro;Cartão de crédito
32;33;Vestido;Roupas;79;Amapá;Cartão de crédito
33;36;Jaqueta;Agasalhos;67;Bahia;Cartão de crédito
34;54;Calça comprida;Roupas;38;Sergipe;Dinheiro
35;36;Camiseta;Roupas;91;Alagoas;Pix
36;54;Blusa;Roupas;33;Piauí;Cartão de crédito
37;35;Camiseta;Roupas;69;Pernambuco;Pix
38;35;Calça jeans;Roupas;45;Paraíba;Pix
39;29;Vestido;Roupas;37;Santa Catarina;Cartão de crédito
40;70;Calça comprida;Roupas;60;Ceará;Cartão de crédito
41;69;Bolsa;Acessórios;76;Pará;Cartão de débito
42;67;Lenço;Acessórios;39;Amazonas;Cartão de crédito
43;20;Casaco;Agasalhos;100;Minas Gerais;Pix
44;25;Lenço;Acessórios;69;São Paulo;Pix
45;39;Chapéu;Acessórios;53;Rio Grande do Norte;Pix
46;50;Meia;Roupas;21;Minas Gerais;Pix
47;57;Camiseta;Roupas;43;São Paulo;Dinheiro
48;55;Jóia;Acessórios;54;Rondônia;Dinheiro
49;42;Camiseta;Roupas;55;Mato Grosso do Sul;Dinheiro
50;68;Moletom com capuz;Roupas;30;Rio de Janeiro;Cartão de débito
51;49;Blusa;Roupas;28;Espírito Santo;Cartão de débito
52;59;Saia;Roupas;59;Rio Grande do Sul;Cartão de crédito
53;42;Camiseta;Roupas;20;Amazonas;Cartão de crédito
54;29;Saia;Roupas;24;Espírito Santo;Cartão de crédito
55;47;Casaco;Agasalhos;94;Bahia;Cartão de débito
56;40;Jaqueta;Agasalhos;28;Sergipe;Cartão de crédito
57;41;Mochila;Acessórios;73;Espírito Santo;Cartão de crédito
58;21;Casaco;Agasalhos;64;Amapá;Cartão de débito
59;69;Moletom com capuz;Roupas;54;Tocantins;Cartão de crédito
60;63;Cinto;Acessórios;79;Pará;Cartão de débito
61;50;Blusão;Roupas;37;Mato Grosso;Dinheiro
62;55;Lenço;Acessórios;68;Rio Grande do Sul;Cartão de crédito
63;30;Tênis;Calçados;21;Espírito Santo;Cartão de crédito
64;33;Óculos de sol;Acessórios;79;Ceará;Cartão de crédito
65;65;Bota;Calçados;83;Minas Gerais;Cartão de débito
66;65;Mochila;Acessórios;36;Rio de Janeiro;Cartão de crédito
67;31;Blusa;Roupas;94;Rio de Janeiro;Cartão de crédito
68;45;Casaco;Agasalhos;33;São Paulo;Cartão de débito
69;57;Bolsa;Acessórios;46;Minas Gerais;Dinheiro
70;48;Cinto;Acessórios;70;Minas Gerais;Dinheiro
71;22;Cinto;Acessórios;29;Minas Gerais;Cartão de débito
72;36;Vestido;Roupas;48;Rio Grande do Sul;Transferência bancária
73;18;Vestido;Roupas;26;Bahia;Transferência bancária
74;48;Calça comprida;Roupas;85;Mato Grosso;Transferência bancária
75;49;Luva;Acessórios;58;Paraíba;Dinheiro
76;64;Lenço;Acessórios;85;Minas Gerais;Cartão de crédito
77;50;Chapéu;Acessórios;43;Mato Grosso do Sul;Cartão de crédito
78;22;Vestido;Roupas;53;Mato Grosso do Sul;Cartão de débito
79;50;Saia;Roupas;91;Mato Grosso do Sul;Cartão de crédito
80;38;Jaqueta;Agasalhos;96;Paraná;Transferência bancária
81;19;Sandália;Calçados;72;Distrito Federal;Cartão de crédito
82;67;Sapato;Calçados;96;Rio Grande do Sul;Cartão de crédito
83;19;Calça comprida;Roupas;28;Bahia;Cartão de crédito
84;36;Vestido;Roupas;40;Rio Grande do Sul;Transferência bancária
85;52;Casaco;Agasalhos;32;Ceará;Transferência bancária
86;53;Óculos de sol;Acessórios;95;Bahia;Cartão de débito
87;24;Moletom com capuz;Roupas;41;Mato Grosso do Sul;Dinheiro
88;52;Sapato;Calçados;53;São Paulo;Cartão de débito
89;33;Camiseta;Roupas;47;Acre;Cartão de crédito
90;47;Jaqueta;Agasalhos;83;São Paulo;Dinheiro
91;25;Chapéu;Acessórios;48;Sergipe;Cartão de crédito
92;44;Lenço;Acessórios;99;Sergipe;Cartão de crédito
93;61;Jaqueta;Agasalhos;87;Rio Grande do Sul;Cartão de crédito
94;37;Blusão;Roupas;62;Santa Catarina;Cartão de crédito
95;58;Saia;Roupas;76;Mato Grosso do Sul;Cartão de crédito
96;37;Tênis;Calçados;100;Tocantins;Pix
97;32;Luva;Acessórios;73;Mato Grosso do Sul;Cartão de crédito
98;21;Sapato;Calçados;92;Rio Grande do Sul;Dinheiro
99;20;Calça jeans;Roupas;67;Distrito Federal;Transferência bancária
100;26;Moletom com capuz;Roupas;40;Tocantins;Cartão de débito
101;62;Óculos de sol;Acessórios;98;Santa Catarina;Dinheiro
102;27;Casaco;Agasalhos;85;Alagoas;Cartão de crédito
103;51;Meia;Roupas;67;Paraná;Cartão de crédito
104;54;Bota;Calçados;89;Amapá;Cartão de crédito
105;55;Óculos de sol;Acessórios;24;Goiás;Pix
106;69;Mochila;Acessórios;96;Distrito Federal;Transferência bancária
107;64;Jaqueta;Agasalhos;35;Rio Grande do Sul;Cartão de crédito
108;28;Tênis;Calçados;67;Espírito Santo;Pix
109;70;Meia;Roupas;79;Rondônia;Transferência bancária
110;58;Camiseta;Roupas;85;Minas Gerais;Transferência bancária
111;56;Mochila;Acessórios;26;Distrito Federal;Cartão de crédito
112;26;Cinto;Acessórios;75;Piauí;Cartão de crédito
113;37;Luva;Acessórios;65;Santa Catarina;Pix
114;44;Chapéu;Acessórios;54;Rio de Janeiro;Pix
115;70;Casaco;Agasalhos;95;Piauí;Dinheiro
116;53;Saia;Roupas;94;Acre;Cartão de débito
117;55;Sapato;Calçados;86;Rio Grande do Sul;Cartão de crédito
